Country,Total Cases,New Casesd,Total Deaths,New Deaths,Total Recovered,Active Cases,Serious_Critical,Cases_per_1Mpop,Deaths_per_1Mpop,Total Tests,Tests_per_1Mpop ,Continent,CountryCode,Avg_LockdownSeverity,Score,Quality_Life,GDP_2018
Afghanistan,1176,84,40,4,166,970,7,30,1,6422,165,Asia,AFG,53.15918393,3.203,,563.8
Albania,634,25,27,1,356,251,4,220,9,6269,2178,Europe,ALB,65.38767797,4.719,,5075.4
Italy,187327,3370,25085,437,54543,107699,2384,3098,415,1513251,25028,Europe,ITA,63.58646991,6.223,22,35391.7
Algeria,2910,99,402,10,1204,1304,40,66,9,6500,148,Africa,DZA,64.40474989,5.211,,4815.6
France,159877,1827,21340,544,40657,97880,5218,2449,327,463662,7103,Europe,FRA,54.23399936,6.592,16,43663.6
Germany,150062,1609,5250,164,99400,45412,2908,1791,63,2072669,24738,Europe,DEU,37.77024638,6.985,10,47501.8
Argentina,3144,,152,1,872,2120,123,70,3,39228,868,South America,ARG,44.48517586,6.086,55,10040.13
Iran,85996,1194,5391,94,63113,17492,3311,1024,64,377396,4493,Asia,IRN,57.49555616,4.548,79,6952.4
China,82788,30,4632,,77151,1005,78,58,3,,,Asia,CHN,64.93624995,5.191,20,7755
Australia,6649,4,74,3,4920,1655,47,261,3,452441,17743,Australia/Oceania,AUS,41.73471244,7.228,7,56919.4
Austria,14925,52,510,19,11328,3087,176,1657,57,201794,22406,Europe,AUT,63.38866556,7.246,,50250
Brazil,45757,2678,2906,165,25318,17533,8318,215,14,291922,1373,South America,BRA,60.4111781,6.3,62,11026.24
Azerbaijan,1518,38,20,,907,591,14,150,2,108221,10674,Asia,AZE,42.48545411,5.208,69,5769
Belgium,41889,933,6262,264,9433,26194,1020,3614,540,171400,14789,Europe,BEL,50.12837792,6.923,11,46683.2
Canada,40119,1697,1971,137,13647,24501,557,1063,52,569878,15099,North America,CAN,32.11360446,7.278,1,51357.8
Bahrain,2027,54,7,,1026,994,2,1191,4,97796,57474,Asia,BHR,41.14539249,6.199,,21438.6
Bangladesh,3772,390,120,10,92,3560,1,23,1,32630,198,Asia,BGD,47.30549383,4.456,,1203.2
India,21370,1290,681,36,4370,16319,,15,1,462621,335,Asia,IND,55.74701147,4.015,34,2104.2
Ireland,16671,631,769,39,9233,6669,147,3376,156,111584,22598,Europe,IRL,52.5643137,7.021,15,78764.6
Bolivia,609,11,37,3,44,528,3,52,3,4420,379,South America,BOL,65.37000248,5.779,,2559.51
Israel,14498,556,189,5,5215,9094,141,1675,22,240303,27763,Asia,ISR,58.92133302,7.139,41,34788.7
Bosnia and Herzegovina,1368,26,53,2,460,855,4,417,16,20125,6134,Europe,BIH,52.14227842,5.386,,6056.2
Botswana,22,2,1,,,21,,9,0,4432,1885,Africa,BWA,34.80048007,3.488,,8031
Japan,11512,,281,,1356,9875,232,91,2,124550,985,Asia,JPN,37.10405935,5.886,13,48919.6
