Country,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,Active Cases,Serious_Critical,Cases_per_1Mpop,Deaths_per_1Mpop,Total Tests,Tests_per_1Mpop,Continent,CountryCode,Avg_LockdownSeverity,Score,Quality_Life,GDP_2018,Obesity,Elder,Social support,Freedom,Corruption,Generosity,Health
Afghanistan,1176,84,40,4,166,970,7,30,1,6422,165,Asia,AFG,53.15918393,3.2030000000000003,39.070422535211264,563.8,5.5,2.58492694,151.0,155.0,136.0,137.0,139.0
Albania,634,25,27,1,356,251,4,220,9,6269,2178,Europe,ALB,65.38767797,4.718999999999999,39.070422535211264,5075.4,21.7,13.74473591,133.0,87.0,134.0,60.0,40.0
Italy,187327,3370,25085,437,54543,107699,2384,3098,415,1513251,25028,Europe,ITA,63.58646991,6.223,22.0,35391.7,19.9,22.7516796,23.0,132.0,128.0,48.0,7.0
Algeria,2910,99,402,10,1204,1304,40,66,9,6500,148,Africa,DZA,64.40474989,5.211,39.070422535211264,4815.6,27.4,6.362496545,101.0,149.0,46.0,128.0,78.0
France,159877,1827,21340,544,40657,97880,5218,2449,327,463662,7103,Europe,FRA,54.23399936,6.5920000000000005,16.0,43663.6,21.6,20.03462475,32.0,69.0,21.0,68.0,5.0
Germany,150062,1609,5250,164,99400,45412,2908,1791,63,2072669,24738,Europe,DEU,37.77024638,6.985,10.0,47501.8,22.3,21.461962,39.0,44.0,17.0,19.0,25.0
Argentina,3144,0,152,1,872,2120,123,70,3,39228,868,South America,ARG,44.48517586,6.086,55.0,10040.13,28.3,11.11778888,46.0,54.0,109.0,123.0,37.0
Iran,85996,1194,5391,94,63113,17492,3311,1024,64,377396,4493,Asia,IRN,57.49555616,4.548,79.0,6952.4,25.8,9.8300171986422,134.0,117.0,44.0,28.0,77.0
China,82788,30,4632,0,77151,1005,78,58,3,320000,2820,Asia,CHN,64.93624995,5.191,20.0,7755.0,6.2,10.92088354,108.0,31.0,73.62616822429906,133.0,34.0
Australia,6649,4,74,3,4920,1655,47,261,3,452441,17743,Australia/Oceania,AUS,41.73471244,7.228,7.0,56919.4,29.0,15.65647523,7.0,17.0,13.0,6.0,10.0
Austria,14925,52,510,19,11328,3087,176,1657,57,201794,22406,Europe,AUT,63.38866556,7.246,39.070422535211264,50250.0,20.1,19.00156646,31.0,26.0,19.0,25.0,15.0
Brazil,45757,2678,2906,165,25318,17533,8318,215,14,291922,1373,South America,BRA,60.411178099999994,6.3,62.0,11026.24,22.1,8.922837832,43.0,84.0,71.0,108.0,72.0
Azerbaijan,1518,38,20,0,907,591,14,150,2,108221,10674,Asia,AZE,42.48545411,5.207999999999999,69.0,5769.0,19.9,6.195182751,104.0,101.0,22.0,146.0,82.0
Belgium,41889,933,6262,264,9433,26194,1020,3614,540,171400,14789,Europe,BEL,50.12837792,6.922999999999999,11.0,46683.2,22.1,18.78874374,22.0,53.0,20.0,44.0,26.0
Canada,40119,1697,1971,137,13647,24501,557,1063,52,569878,15099,North America,CAN,32.11360446,7.278,1.0,51357.8,29.4,17.23200668,20.0,9.0,11.0,14.0,8.0
