Country,GDP_2018
Afghanistan,563.8
Albania,5075.4
Italy,35391.7
Algeria,4815.6
France,43663.6
Germany,47501.8
Argentina,10040.13
Iran,6952.4
China,7755
Australia,56919.4
Austria,50250
Brazil,11026.24
Azerbaijan,5769
Belgium,46683.2
Canada,51357.8
Bahrain,21438.6
Bangladesh,1203.2
India,2104.2
Ireland,78764.6
Bolivia,2559.51
Israel,34788.7
Bosnia and Herzegovina,6056.2
Botswana,8031
Japan,48919.6
Chile,15130.2
Ecuador,5185.09
Bulgaria,8651.1
Burkina Faso,709.8
Burundi,210.8
Cameroon,1497.8
Mexico,10385.3
Denmark,62888.7
Chad,813.3
Indonesia,4284.7
Colombia,7698.4
Costa Rica,9892.64
Croatia,15870.3
Malaysia,12109.5
Dominican Republic,7750.93
Cyprus,30926.5
Finland,48579.9
Egypt,2907.3
Luxembourg,107243.2
Morocco,3357.4
El Salvador,3511.36
Estonia,19948.9
Moldova,2684.1
Greece,23558.1
Kuwait,33537.9
Hungary,16503.5
Kazakhstan,11165.5
Gabon,9077
Gambia,518.8
Iceland,52103.2
Iraq,5510.8
Ghana,1807.1
Guatemala,3160.01
Honduras,2203.95
Hong Kong,38784.8
Lebanon,6249.8
Jamaica,4841.65
Jordan,3236.9
Kenya,1202.1
Mauritius,10578.6
Mali,777.9
Laos,1789.1
Libya,7529
Myanmar,1571.9
Madagascar,432.7
Malawi,516.8
Mozambique,539.2
Mongolia,4197.8
Mauritania,1349.4
Namibia,6073.2
Netherlands,55041.1
New Zealand,38000.7
Nicaragua,1860.43
Niger,398.5
Nigeria,2396.3
Norway,92121.4
Pakistan,1196.6
Panama,11723.93
Paraguay,5394.46
Peru,6453.92
Philippines,3022
Poland,16639.7
Portugal,23737.7
Qatar,63222.1
Romania,11534.9
Russia,11729.1
Rwanda,826.3
Saudi Arabia,20912
Serbia,6880.5
Sierra Leone,474.1
Singapore,58247.9
Slovenia,26758.9
South Africa,7433.6
South Korea,26761.9
Spain,33146.4
Sri Lanka,3936.5
Sweden,57232.1
Switzerland,78816.2
Tanzania,957.1
Thailand,6361.6
Tunisia,4402
Turkey,15026.7
Uganda,709.7
Ukraine,3110.2
United Arab Emirates,40782.4
United Kingdom,42986
United States,54541.7
Uruguay,14617.5
Uzbekistan,2026.5
Venezuela,16054.49
Vietnam,1964.5
Zambia,1672.3
Zimbabwe,1322.3
Taiwan,
Syria,
South Sudan,
